"","ORC4_14to17h_1","ORC4_14to17h_2","ORC4_14to17h_3","ORC4_14to17h_4","wt_14to17h_1","wt_14to17h_2","wt_14to17h_3"
"ORC4_14to17h_1",1,0.994473551274445,0.997408332560052,0.990200158245127,0.993616320737216,0.993776783611474,0.990946171462345
"ORC4_14to17h_2",0.994473551274445,1,0.986686626673239,0.997591741131603,0.985095177193856,0.991524309383066,0.982162206650034
"ORC4_14to17h_3",0.997408332560052,0.986686626673239,1,0.980281287840617,0.994937364149905,0.991946226451057,0.993401688097775
"ORC4_14to17h_4",0.990200158245127,0.997591741131603,0.980281287840617,1,0.979802746505144,0.986983478513206,0.974737089189866
"wt_14to17h_1",0.993616320737216,0.985095177193856,0.994937364149905,0.979802746505144,1,0.996561440617875,0.998288423710911
"wt_14to17h_2",0.993776783611474,0.991524309383066,0.991946226451057,0.986983478513206,0.996561440617875,1,0.996981501143326
"wt_14to17h_3",0.990946171462345,0.982162206650034,0.993401688097775,0.974737089189866,0.998288423710911,0.996981501143326,1
