factor,condition,bw,color,plot_type
Rpb3,wt,../bw/Dme_emb_14-17h_Rpb3_2_rpm.bw,"""#FCB13C""",polygon
Rpb3,mut,../bw/Dme_emb_orc4_14-17h_Rpb3_2_rpm.bw,"""#FCB13C""",polygon
Rpb3,rescue,../bw/dme_emb_act_Lola_I_orc4_14-17h_Rpb3_1_R2_rpm.bw,"""#FCB13C""",polygon
ATAC,wt,../bw/../bw/dme_emb_orer_14_17h_atac_8.bam_from0to100_rpm.bw,"""#6C1E10""",polygon
ATAC,mut,../bw/dme_emb_orc4_14_17h_atac_4.bam_from0to100_rpm.bw,"""#6C1E10""",polygon
ATAC,rescue,../bw/dme_emb_act_lola_PI_28267_14_17h_atac_3.bam_from0to100_rpm.bw,"""#6C1E10""",polygon
