label,factor,window_upstream,window_downstream,ip,wce
early_1,polii,0,200,Dme_emb_2-4h_Rpb3_1_rpm.bw,Dme_emb_2-4h_WCE_1_rpm.bw
early_2,polii,0,200,Dme_emb_2-4h_Rpb3_2_R2_rpm.bw,Dme_emb_2-4h_WCE_2_R2_rpm.bw
late_1,polii,0,200,Dme_emb_14-17h_Rpb3_1_rpm.bw,Dme_emb_14-17h_WCE_1_rpm.bw
late_2,polii,0,200,Dme_emb_14-17h_Rpb3_2_rpm.bw,Dme_emb_14-17h_WCE_2_rpm.bw
late_3,polii,0,200,Dme_emb_14-17h_Rpb3_3_rpm.bw,Dme_emb_14-17h_WCE_3_rpm.bw
