TSS_ID	A549	Bj	H1hesc	Hepg2	Hsmm	K562	Nhek	Sknshra	Ag04450	Gm12878	Helas3	Hmec	Huvec	Mcf7	Nhlf
ENST00000440966	17.86895	18.25515	197.5615	39.25635	NaN	268.0025	117.0845	37.81825	16.1511	103.9788	207.806	NaN	84.96935	63.9529	NaN
ENST00000458138	78.4635	32.666	155.7245	95.3934	NaN	205.8225	71.0267	73.24325	38.45415	70.0106	42.36815	NaN	71.87215	101.1563	NaN
ENST00000382549	80.33855	33.9853	157.7255	96.89555	NaN	213.7395	70.9674	74.17115	39.7864	75.2633	44.3245	NaN	73.8514	104.86775	NaN
ENST00000290155	2.59359	1.90884	11.7655	7.637755	NaN	8.838015	1.674595	2.36433	2.531205	4.80713	7.499525	NaN	4.157185	3.22201	NaN
ENST00000429236	1.0333575	3.0629	0.425812	0.3807615	NaN	1.69472	0.686976	3.215475	2.436555	1.490655	4.13507	NaN	2.338135	2.30661	NaN
ENST00000290178	0.8267655	0.2871109	1.488305	1.10286	NaN	2.43932	1.307445	0.7963355	0.865213	3.70191	2.495865	NaN	2.297335	1.1178115	NaN
ENST00000331923	0.7997165	0.700955	18.0087	2.518835	NaN	7.054135	2.355595	1.122533	0.746499	2.574125	10.820005	NaN	3.966125	4.05252	NaN
ENST00000382377	0.2485395	0.358142	0.1460471	1.197025	NaN	0.7348825	0.269509	2.547985	0.245982	0.698036	0.1315982	NaN	0.486515	0.339656	NaN
ENST00000453404	0.3371355	0.4003865	0.3455815	1.35103	NaN	0.896475	0.323809	3.236035	0.2855535	0.9706765	0.2631965	NaN	0.486515	0.792142	NaN
ENST00000382378	0.3371355	0.4003865	0.3455815	1.35103	NaN	0.896475	0.323809	3.236035	0.2855535	0.9706765	0.2631965	NaN	0.486515	0.792142	NaN
ENST00000491756	0.2928375	0.533848	0.375407	1.297995	NaN	0.896475	0.296659	3.618435	0.31737	0.943767	0.3498205	NaN	0.486515	0.792142	NaN
ENST00000477513	0.2928375	0.5760925	0.521454	1.35103	NaN	0.9947025	0.322813	4.14338	0.42833	0.9394165	0.467144	NaN	0.5103975	0.9770855	NaN
ENST00000382264	3.107915	4.01919	2.155805	3.081825	NaN	2.4866	1.625275	4.18037	2.55367	6.52016	1.8105	NaN	5.121355	1.787825	NaN
ENST00000404220	3.24081	4.32163	2.24528	3.081825	NaN	2.613325	1.706725	4.38185	2.672385	6.784095	1.835725	NaN	5.289795	1.813415	NaN
ENST00000382241	4.06758	4.81323	2.444815	3.57206	NaN	2.879515	1.97524	4.861565	3.0689	8.842595	2.17127	NaN	5.866145	2.37873	NaN
ENST00000342136	3.94448	4.475275	2.078655	2.641215	NaN	2.36959	1.759035	3.56223	2.743775	9.388675	2.31597	NaN	6.315025	2.58809	NaN
ENST00000420068	3.597545	3.67451	1.769065	2.331505	NaN	2.059145	1.598125	2.224515	2.014385	8.596865	2.03635	NaN	5.785175	2.12514	NaN
ENST00000290200	5.37652	7.872765	2.00051	5.88655	NaN	18.649	13.92632	9.66016	6.74095	22.47815	16.5706	NaN	25.5884	12.497165	NaN
ENST00000539894	0.4257315	1.199288	1.556205	1.84807	NaN	3.50678	1.197845	4.057045	1.420015	6.991475	2.649365	NaN	8.094365	2.317045	NaN
ENST00000270139	0.728369	3.547775	0.13680035	0.278091	NaN	0.37682985	0.826711	0.674345	0.4128205	0.4028365	1.1853625	NaN	0.724075	4.130495	NaN
ENST00000442357	41.9224	64.4132	8.44943	15.60695	NaN	18.90175	20.2147	59.06255	46.37355	22.82135	33.1119	NaN	34.79265	20.37335	NaN
ENST00000381995	6.045695	12.95965	30.61795	55.71745	NaN	32.10015	64.6856	21.8477	18.6775	48.79285	28.5462	NaN	59.8187	11.202515	NaN
